Wait | Semaphore | 33764906
Take | Semaphore | 33766359
Take | Mutex | 33772437
Read | Page: 1 | 33773171
Free | Mutex | 33773171
Free | Semaphore | 33773171

Wait | Semaphore | 33773171
Take | Semaphore | 33774093
Take | Mutex | 33786234
Read | Page: 9 | 33787140
Free | Mutex | 33787140
Free | Semaphore | 33787140

Wait | Semaphore | 33787140
Take | Semaphore | 33788453
Take | Mutex | 33803046
Read | Page: 2 | 33804359
Free | Mutex | 33804359
Free | Semaphore | 33804359

