Wait | Semaphore | 33764921
Take | Semaphore | 33770046
Take | Mutex | 33781609
Read | Page: 6 | 33782359
Free | Mutex | 33782359
Free | Semaphore | 33782359

Wait | Semaphore | 33782359
Take | Semaphore | 33782359
Take | Mutex | 33796031
Read | Page: 14 | 33796953
Free | Mutex | 33796953
Free | Semaphore | 33796953

Wait | Semaphore | 33796953
Take | Semaphore | 33799546
Take | Mutex | 33809546
Read | Page: 7 | 33810843
Free | Mutex | 33810843
Free | Semaphore | 33810843

