Wait | Semaphore | 33764875
Take | Semaphore | 33764875
Take | Mutex | 33764875
Write | Page: 0 | 33765625
Free | Mutex | 33765625
Free | Semaphore | 33765625

Wait | Semaphore | 33765625
Take | Semaphore | 33765625
Take | Mutex | 33770796
Write | Page: 8 | 33771703
Free | Mutex | 33771703
Free | Semaphore | 33771703

Wait | Semaphore | 33771703
Take | Semaphore | 33773171
Take | Mutex | 33784937
Write | Page: 1 | 33786234
Free | Mutex | 33786234
Free | Semaphore | 33786234

