Wait | Semaphore | 33764890
Take | Semaphore | 33764890
Take | Mutex | 33768562
Write | Page: 5 | 33769312
Free | Mutex | 33769312
Free | Semaphore | 33769312

Wait | Semaphore | 33769312
Take | Semaphore | 33769312
Take | Mutex | 33779046
Write | Page: 13 | 33779968
Free | Mutex | 33779968
Free | Semaphore | 33779968

Wait | Semaphore | 33779968
Take | Semaphore | 33782359
Take | Mutex | 33796953
Write | Page: 6 | 33798250
Free | Mutex | 33798250
Free | Semaphore | 33798250

