Take | Semaphore | 14341500
Take | Mutex | 14345796
Write | Page: 3| 14347234
Free | Mutex | 14347234
Free | Semaphore | 14347234
Take | Semaphore | 14347234
Take | Mutex | 14358921
Write | Page: 11| 14359421
Free | Mutex | 14359421
Free | Semaphore | 14359421
Take | Semaphore | 14362328
Take | Mutex | 14373203
Write | Page: 4| 14374015
Free | Mutex | 14374015
Free | Semaphore | 14374015
